Name,Status,Left,Days ago,Orbit,Grade,Subject,Deadline,Created time,Tags,UIP,URL,Files
Libft,Complited,"-494 day(s) -9.3 hour(s) ",525,#0,115,Datebase%20db38d/en.subject.libft.pdf,"November 28, 2020 12:00 AM","October 28, 2020 12:00 AM","C, Project",,,
get_next_line,Complited,"-433 day(s) -9.3 hour(s) ",504,#1,100,Datebase%20db38d/en.subject.gnl.pdf,"January 28, 2021 12:00 AM","November 17, 2020 10:00 PM","C, Project",,,
ft_printf,Complited,"-433 day(s) -9.3 hour(s) ",482,#1,100,Datebase%20db38d/en.subject.printf.pdf,"January 28, 2021 12:00 AM","December 10, 2020 12:00 AM","C, Project",,,
netwhat,Complited,"-433 day(s) -9.3 hour(s) ",491,#1,100,Datebase%20db38d/en.subject.netwhat.pdf,"January 28, 2021 12:00 AM","December 1, 2020 12:00 AM","Network, Project",,,
cube3d,Complited,"-343 day(s) -9.3 hour(s) ",429,#2,NULL,,"April 28, 2021 12:00 AM","February 1, 2021",Project,,,
miniRT,Not Started,"-343 day(s) -9.3 hour(s) ",,#2,NULL,,"April 28, 2021 12:00 AM",,Project,,,
Exam Rank 02,Complited,"-343 day(s) -9.3 hour(s) ",,#2,NULL,,"April 28, 2021 12:00 AM",,Project,,,
ft_server,Complited,"-343 day(s) -9.3 hour(s) ",,#2,NULL,,"April 28, 2021 12:00 AM",,Project,,,
ft_services,Not Started,"-252 day(s) -9.3 hour(s) ",,#3,NULL,,"July 28, 2021 12:00 AM",,"C, Network, Project",,,
Exam Rank 03,Not Started,"-252 day(s) -9.3 hour(s) ",,#3,,,"July 28, 2021",,Project,,,
minishell,Not Started,"-252 day(s) -9.3 hour(s) ",,#3,,,"July 28, 2021",,Project,,,
libasm,Not Started,"-252 day(s) -9.3 hour(s) ",,#3,,,"July 28, 2021",,Project,,,
,," day(s) 0 hour(s) ",,,,,,,Project,,,
Eng,," day(s) 0 hour(s) ",,,,,,,,,,
Использование Docker,Not Started," day(s) 0 hour(s) ",,,,,,,,,,
Kubernetes && Docker ect...,Not Started," day(s) 0 hour(s) ",,,,,,,"Docker, Kubernetes, LEMP, Network, Nginx, WordPress",,,
Chat,Not Started," day(s) 0 hour(s) ",,,,,,,Project,,,
Энхиридион,Not Started," day(s) 0 hour(s) ",,,,,,,Project,,,
NASM в UNIX: Столяров,Not Started," day(s) 0 hour(s) ",,,,,,,,,,Datebase%20db38d/nasm_unix.pdf
Ray casting,," day(s) 0 hour(s) ",,,,,,,"Game, Graphics",,,
Python notebook,In Progress," day(s) 0 hour(s) ",,,,,,,Python,,,
Эффективное использование GNU Make,," day(s) 0 hour(s) ",,,,,,,"Makefile, Source",,http://www.opennet.ru/docs/RUS/gnumake/,
Программа управления компиляцией GNU make 3.73,," day(s) 0 hour(s) ",,,,,,,"Makefile, Source",,http://www.opennet.ru/docs/RUS/make_compile/make.html#toc2,
42seoul{ft_printf}. Unicode.,," day(s) 0 hour(s) ",,,,,,,"Encodings, Source",,https://jaeseokim.github.io/C/C-%EC%9C%A0%EB%8B%88%EC%BD%94%EB%93%9C(unicode)%EC%97%90_%EB%8C%80%ED%95%B4_%EC%95%8C%EC%95%84%EB%B3%B4%EA%B8%B0(feat.42seoul_ft_printf)/,
Docker detouch,," day(s) 0 hour(s) ",,,,,,,"Docker, Question, Source",,https://coderoad.ru/30209776/Docker-%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D1%80-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8-%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%81%D1%8F-%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-docker-run-d,
Не работает директива location в Nginx?,," day(s) 0 hour(s) ",,,,,,,"Nginx, Source",,https://qna.habr.com/q/18649,
How To Secure Nginx with Let's Encrypt on Ubuntu 18.04,," day(s) 0 hour(s) ",,,,,,,"LEMP, Nginx, SSL, Source",,https://www.digitalocean.com/community/tutorials/how-to-secure-nginx-with-let-s-encrypt-on-ubuntu-18-04,
How To Create a Self-Signed SSL Certificate for Nginx in Ubuntu 18.04,," day(s) 0 hour(s) ",,,,,,,"LEMP, Nginx, SSL, Source",,https://www.digitalocean.com/community/tutorials/how-to-create-a-self-signed-ssl-certificate-for-nginx-in-ubuntu-18-04,
NginxWiki,," day(s) 0 hour(s) ",,,,,,,"LEMP, Nginx, Source",,http://nginx.org/ru/docs/,
Установка WordPress со стеком LEMP в Ubuntu 18.04,," day(s) 0 hour(s) ",,,,,,,"LEMP, Nginx, Source, WordPress",,https://www.digitalocean.com/community/tutorials/how-to-install-wordpress-with-lemp-on-ubuntu-18-04-ru,
Лучшая практика conf.d.,," day(s) 0 hour(s) ",,,,,,,"Network, Nginx, Question, Source",,https://qastack.ru/server/527630/what-is-the-different-usages-for-sites-available-vs-the-conf-d-directory-for-ngi,
Модульное тестирование и контрактное программирование.,," day(s) 0 hour(s) ",,,,,,,Testing,,https://www.youtube.com/watch?v=yO1rvJH6jlI&ab_channel=%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B9%D0%A5%D0%B8%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2,
First book. А. В. Столяров.,Not Started," day(s) 0 hour(s) ",,,,,,,"BNotes, C, CS, GNU, Linux, Math",,,
"Комбинаторика для начинающих. Райгородский, Ильинский.",In Progress," day(s) 0 hour(s) ",,,,,,,Math,,,
How to use computer? А. В. Столяров. pp. 60,Not Started," day(s) 0 hour(s) ",,,,,,,BNotes,,,
Программирование: введение в профессию. Том 1: азы программирования. А. В. Столяров,," day(s) 0 hour(s) ",,,,,,,"Book, GNU, Linux, Math, Source",,,Datebase%20db38d/progintro_vol1.pdf
Грег МакКеон Эссенциализм. Путь к простоте,," day(s) 0 hour(s) ",,,,,,,"Productivity, Source",,,Datebase%20db38d/__.___.pdf
В работу с головой,," day(s) 0 hour(s) ",,,,,,,"Book, Productivity, Source",,,Datebase%20db38d/Deep_Work.pdf
"Чистая архитектура. Искусство разработки программного обеспечения [2018, PDF, EPUB] Роберт Мартин",," day(s) 0 hour(s) ",,,,,,,"Architecture, Book, CS, Source",,,Datebase%20db38d/Chistaya_arkhitektura_Iskusstvo_razrabotki_programmnogo_obespechenia_2018.pdf
"Distributed Systems 3rd Maarten van Steen, Andrew S. Tanenbaum",," day(s) 0 hour(s) ",,,,,,,"Book, Source",,,
Readings in Database Systems,," day(s) 0 hour(s) ",,,,,,,"Book, Source",,,
"Компиляторы. Принципы, технологии, инструменты, 2-е издание",," day(s) 0 hour(s) ",,,,,,,"Book, Source",,,
Компьютерные сети. Нисходящий подход Куроуз Джеймс,," day(s) 0 hour(s) ",,,,,,,"Book, Network, Source",,,
"Компьютерные сети. Таненбаум Э., Уэзэрол Д.",," day(s) 0 hour(s) ",,,,,,,"Architecture, CS, Network, Source",,,
Mathematics for Computer Science Eric Lehman,," day(s) 0 hour(s) ",,,,,,,"CS, Math, Source",,,
Цифровая схемотехника и архитектура компьютера,," day(s) 0 hour(s) ",,,,Datebase%20db38d/digital-design-and-computer-architecture-russian-translation%201.pdf,,,"Architecture, CS, Source",,,Datebase%20db38d/digital-design-and-computer-architecture-russian-translation.pdf
Алгоритмы. Руководство по разработке Скиена С.,," day(s) 0 hour(s) ",,,,,,,"Algorithms, Book, Source",,,Datebase%20db38d/Skiena_S_-_Algoritmy_Rukovodstvo_po_razrabotke_-_2011_(2).djvu
