Name,Created time,Days ago,Deadline,Files,Grade,Left,Orbit,Status,Subject,Tags,UIP,URL
First book. А. В. Столяров.,,,,,," day(s) 0 hour(s) ",,Not Started,,"BNotes, C, CS, GNU, Linux, Math",,
"Комбинаторика для начинающих. Райгородский, Ильинский.",,,,,," day(s) 0 hour(s) ",,In Progress,,Math,,
How to use computer? А. В. Столяров. pp. 60,,,,,," day(s) 0 hour(s) ",,Not Started,,BNotes,,
Unicode in ft_putchar_fd,,,,,," day(s) 0 hour(s) ",,Not Started,,"C, Encodings",,
"Основы сетей предачи данных ",,,,,," day(s) 0 hour(s) ",,In Progress,,"BNotes, Network",,
Zettelkasten Principles,,,,,," day(s) 0 hour(s) ",,Complited,,"Productivity, Zettelkasten",,
Getting thing done,,,,,," day(s) 0 hour(s) ",,Later,,"BNotes, GTD, Productivity",,
Модульное тестирование и контрактное программирование.,,,,,," day(s) 0 hour(s) ",,,,Testing,,https://www.youtube.com/watch?v=yO1rvJH6jlI&ab_channel=%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B9%D0%A5%D0%B8%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2
Python notebook,,,,,," day(s) 0 hour(s) ",,In Progress,,Python,,
Ray casting,,,,,," day(s) 0 hour(s) ",,,,"Game, Graphics",,
NASM в UNIX: Столяров,,,,Datebase%20db38d/nasm_unix.pdf,," day(s) 0 hour(s) ",,Not Started,,,,
Kubernetes && Docker ect...,,,,,," day(s) 0 hour(s) ",,Not Started,,"Docker, Kubernetes, LEMP, Network, Nginx, WordPress",,
Использование Docker,,,,,," day(s) 0 hour(s) ",,Not Started,,,,
Eng,,,,,," day(s) 0 hour(s) ",,,,,,
Libft,"October 28, 2020 12:00 AM",525,"November 28, 2020 12:00 AM",,115,"-494 day(s) -9.3 hour(s) ",#0,Complited,Datebase%20db38d/en.subject.libft.pdf,"C, Project",,
netwhat,"December 1, 2020 12:00 AM",491,"January 28, 2021 12:00 AM",,100,"-433 day(s) -9.3 hour(s) ",#1,Complited,Datebase%20db38d/en.subject.netwhat.pdf,"Network, Project",,
ft_server,,,"April 28, 2021 12:00 AM",,NULL,"-343 day(s) -9.3 hour(s) ",#2,Complited,,Project,,
Exam Rank 02,,,"April 28, 2021 12:00 AM",,NULL,"-343 day(s) -9.3 hour(s) ",#2,Complited,,Project,,
miniRT,,,"April 28, 2021 12:00 AM",,NULL,"-343 day(s) -9.3 hour(s) ",#2,Not Started,,Project,,
cube3d,"February 1, 2021",429,"April 28, 2021 12:00 AM",,NULL,"-343 day(s) -9.3 hour(s) ",#2,Complited,,Project,,
David Allen. Getting Things Done,,,,Datebase%20db38d/Getting_Things_Done.rtf,," day(s) 0 hour(s) ",,,,"Book, GTD, Productivity, Source",,
