Name,Tags,Files,URL,Status,Grade,Left,UIP,Created time,Days ago,Deadline,Orbit,Subject
,Project,,,,," day(s) 0 hour(s) ",,,,,,
ft_services,"C, Network, Project",,,Not Started,NULL,"-252 day(s) -9.3 hour(s) ",,,,"July 28, 2021 12:00 AM",#3,
Eng,,,,,," day(s) 0 hour(s) ",,,,,,
Использование Docker,,,,Not Started,," day(s) 0 hour(s) ",,,,,,
Kubernetes && Docker ect...,"Docker, Kubernetes, LEMP, Network, Nginx, WordPress",,,Not Started,," day(s) 0 hour(s) ",,,,,,
Chat,Project,,,Not Started,," day(s) 0 hour(s) ",,,,,,
Энхиридион,Project,,,Not Started,," day(s) 0 hour(s) ",,,,,,
NASM в UNIX: Столяров,,Datebase%20db38d/nasm_unix.pdf,,Not Started,," day(s) 0 hour(s) ",,,,,,
Exam Rank 03,Project,,,Not Started,,"-252 day(s) -9.3 hour(s) ",,,,"July 28, 2021",#3,
minishell,Project,,,Not Started,,"-252 day(s) -9.3 hour(s) ",,,,"July 28, 2021",#3,
libasm,Project,,,Not Started,,"-252 day(s) -9.3 hour(s) ",,,,"July 28, 2021",#3,
Ray casting,"Game, Graphics",,,,," day(s) 0 hour(s) ",,,,,,
Python notebook,Python,,,In Progress,," day(s) 0 hour(s) ",,,,,,
Эффективное использование GNU Make,"Makefile, Source",,http://www.opennet.ru/docs/RUS/gnumake/,,," day(s) 0 hour(s) ",,,,,,
Программа управления компиляцией GNU make 3.73,"Makefile, Source",,http://www.opennet.ru/docs/RUS/make_compile/make.html#toc2,,," day(s) 0 hour(s) ",,,,,,
42seoul{ft_printf}. Unicode.,"Encodings, Source",,https://jaeseokim.github.io/C/C-%EC%9C%A0%EB%8B%88%EC%BD%94%EB%93%9C(unicode)%EC%97%90_%EB%8C%80%ED%95%B4_%EC%95%8C%EC%95%84%EB%B3%B4%EA%B8%B0(feat.42seoul_ft_printf)/,,," day(s) 0 hour(s) ",,,,,,
Docker detouch,"Docker, Question, Source",,https://coderoad.ru/30209776/Docker-%D0%BA%D0%BE%D0%BD%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D1%80-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8-%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%82%D1%81%D1%8F-%D0%BF%D0%BE%D1%81%D0%BB%D0%B5-docker-run-d,,," day(s) 0 hour(s) ",,,,,,
Не работает директива location в Nginx?,"Nginx, Source",,https://qna.habr.com/q/18649,,," day(s) 0 hour(s) ",,,,,,
How To Secure Nginx with Let's Encrypt on Ubuntu 18.04,"LEMP, Nginx, SSL, Source",,https://www.digitalocean.com/community/tutorials/how-to-secure-nginx-with-let-s-encrypt-on-ubuntu-18-04,,," day(s) 0 hour(s) ",,,,,,
How To Create a Self-Signed SSL Certificate for Nginx in Ubuntu 18.04,"LEMP, Nginx, SSL, Source",,https://www.digitalocean.com/community/tutorials/how-to-create-a-self-signed-ssl-certificate-for-nginx-in-ubuntu-18-04,,," day(s) 0 hour(s) ",,,,,,
NginxWiki,"LEMP, Nginx, Source",,http://nginx.org/ru/docs/,,," day(s) 0 hour(s) ",,,,,,
Установка WordPress со стеком LEMP в Ubuntu 18.04,"LEMP, Nginx, Source, WordPress",,https://www.digitalocean.com/community/tutorials/how-to-install-wordpress-with-lemp-on-ubuntu-18-04-ru,,," day(s) 0 hour(s) ",,,,,,
Лучшая практика conf.d.,"Network, Nginx, Question, Source",,https://qastack.ru/server/527630/what-is-the-different-usages-for-sites-available-vs-the-conf-d-directory-for-ngi,,," day(s) 0 hour(s) ",,,,,,
Модульное тестирование и контрактное программирование.,Testing,,https://www.youtube.com/watch?v=yO1rvJH6jlI&ab_channel=%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B9%D0%A5%D0%B8%D1%80%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2,,," day(s) 0 hour(s) ",,,,,,
First book. А. В. Столяров.,"BNotes, C, CS, GNU, Linux, Math",,,Not Started,," day(s) 0 hour(s) ",,,,,,
"Комбинаторика для начинающих. Райгородский, Ильинский.",Math,,,In Progress,," day(s) 0 hour(s) ",,,,,,
How to use computer? А. В. Столяров. pp. 60,BNotes,,,Not Started,," day(s) 0 hour(s) ",,,,,,
