Name,Tags,From,cert
Python Piscine,Python,School21,no
Diving in Python,Python,MPI,no
https://www.coursera.org/learn/python-network-data/home/welcome,"JSON, Python, SQL, XML",Michigan university,yes
Responsive Web Design,"CSS, HTML",freeCodeCamp,yes
Django Specialization,"CSS, Django, HTML, Python, SQL",Michigan university,not yet
Learn Relational Databases by Building a Mario Database,"Bash, PostgreSQL",freeCodeCamp,not yet
Introduction to Networking,"HTTP, Networking, TCP/IP",Dr.Chuck,no
Learn Bash Scripting by Building Five Programs,"Bash scripting, SQL",freeCodeCamp,no
NumPy,"Math, Python",Documentation,no
JavaScript Algorithms and Data Structures,JavaScript,freeCodeCamp,not yet
